Title,Date,Issues,Number_of_signitures
Divest or put in a blind trust all of the President's business and financial assets,"Created by H.B. on January 20, 2017",Government & Regulatory Reform,"366,988"
Please ask New York state to overturn recent abortion expansion laws.,"Created by A.S. on January 23, 2019","Civil Rights & Equality, Government & Regulatory Reform","306,703"
Repeal the NFA,"Created by A.Z. on January 20, 2017","Foreign Policy, Government & Regulatory Reform, Gun Violence","305,156"
Do Not Repeal Net Neutrality,"Created by A.L. on November 22, 2017","Government & Regulatory Reform, Technology & Innovation","282,625"
Revoke the U.S. Citizenship and Visas of the Hong Kong and China Officials who are in Support of the Extradition Bill.,"Created by M.W. on June 11, 2019","Civil Rights & Equality, Foreign Policy, Immigration","280,765"
#ChineseLivesMatters Calling a federal investigation into the United Airlines incident on 10th April 2017,"Created by Z.Z. on April 11, 2017",Civil Rights & Equality,"214,336"
Stop the landfill of Henoko / Oura Bay until a referendum can be held in Okinawa,"Created by R.K. on December 08, 2018","Energy & Environment, Foreign Policy, Veterans & Military","211,585"
Impeach Nancy Pelosi for crimes of Treason!,"Created by M.G. on January 18, 2019","Foreign Policy, Homeland Security & Defense, Immigration","201,936"
"Make Junius Ho Kwan Yiu and his immediate family members ineligible for U.S. Entry, Citizenship and Visas","Created by B.T. on July 21, 2019","Civil Rights & Equality, Foreign Policy, Immigration","195,324"
Declare George Soros a terrorist and seize all of his related organizations' assets under RICO and NDAA law,"Created by E.B. on August 20, 2017","Criminal Justice Reform, Government & Regulatory Reform, Homeland Security & Defense","192,543"
Stop Qatar from yet another dubious act. How can a pro-terrorism nation mediate between United States and Iran?,"Created by Y.K. on June 11, 2019","Civil Rights & Equality, Criminal Justice Reform, Government & Regulatory Reform","176,424"
"Yes to regime change in Iran, No to dialog with a pro-terrorism government","Created by A.J. on June 19, 2018",Foreign Policy,"164,745"
Officially recognize Hong Kong Police Force (HKPF) led by Commissioner Stephen LO Wai-chung as a Terrorist Organization,"Created by K.O. on August 05, 2019","Foreign Policy, Gun Violence, Homeland Security & Defense","154,773"
"Deport Maria Gabriela Chavez, and send her back to Venezuela.","Created by J.P. on March 03, 2019",Foreign Policy,"150,553"
