ID,Screen_Name,No_Tweets,No_Followers,Type
388644353,MWoo5,16,2,Layman
1014525367489527811,ShangMiya,2,2,Layman
217180827,bettinanicoleb,2684,518,Expert
1123735801618227204,ForasteLopez,170,405,Expert
3079385280,SouravCu,3,10,Layman
742884552285130753,k_mcmanaman,6,95,Layman
703333408303239168,KL_Geerling95,1830,157,Expert
734903270968328194,marykayinglett,1,7,Layman
1120170763271790594,DanielS70798894,1,0,Layman
87288395,montana_tech,1524,2383,Celebrity
1163435001804972037,MrDailey_VJA,8,37,Layman
255260545,BentonParkWest,694,2366,Celebrity
1350261362,wyn_woods,2382,420,Expert
201905714,dipnotz,9745,1079,Celebrity
4404161,let5ch,11155,935,Expert
1143960830662316033,ToddRog04506515,322,16,Layman
50703568,think_forward,181,110,Expert
1162474998981890048,karendordor,0,2,Layman
1163829350371942400,grondongor,7,1,Layman
174002052,wdtoddnix,2191,201,Expert
83703767,robinsgoodman,6,48,Layman
1153414806185173002,DoeringLab,6,18,Layman
29855388,bcliff84,9560,1184,Celebrity
1163805338891669504,HarishP01370522,0,0,Layman
365099998,Use_Response,260,144,Expert
1162416353497800710,wq76193927,0,6,Layman
14619139,mikemuel,697,241,Expert
812746276597067777,Andy6Dai,55,13,Layman
1161057354609299457,AlexSco29126293,65,54,Layman
215684109,Sandoval_G,2543,91,Layman
740398330958782464,clairecomey,120,25,Layman
1058001692980056064,MZackoff,27,105,Expert
897950472593715204,saggarwal_nyc,12,4,Layman
1138251871485693952,SpiveyFaulkner,12,36,Layman
973774069668687873,apaniaguaavila,122,114,Expert
770612834178895872,shanziem,4,7,Layman
1161747085080891393,diane_hudon,70,12,Layman
391020740,dleers,42,28,Layman
1137886885823410176,IhbzTfSvesni0bA,0,0,Layman
747286289171439617,bigfish0010,20,25,Layman
1084554494946537472,SulovSaha,7,8,Layman
1148254636790276098,joshirsey,11,1,Layman
39430498,spatns,442,244,Expert
1040364861757116417,AndySchutzenho1,38,37,Layman
284874004,LISAAcademy,1775,605,Expert
137826112,LsfAtty4,11117,578,Expert
65185254,babydogjen,3232,1581,Celebrity
1163464985042800640,congwan95919842,0,0,Layman
838217777873825794,KhushiSuman3,41,25,Layman
4467182412,cothomas68,3054,77,Layman
